Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"This document sets out the framework for the national curriculum and includes: contextual information about both the overall school curriculum and the statutory national curriculum, including the statutory basis of the latter",,,,,,NC master,4,Y,,,,,,,,,,,,,,,,,,
This document sets out the framework for the national curriculum and includes: aims for the statutory national curriculum,,,,,,NC master,4,Y,,,,,,,,,,,,,,,,,,
"This document sets out the framework for the national curriculum and includes: statements on inclusion, and on the development of pupils' competence in numeracy and mathematics, language and literacy across the school curriculum",,,,,,NC master,4,Y,,,,,,,,,,,,Y,,,,,Y,
This document sets out the framework for the national curriculum and includes: programmes of study for all the national curriculum subjects.,,,,,,NC master,4,Y,,,,,,,,,,,,,,,,,,
"Every state-funded school must offer a curriculum which is balanced and broadly based¹ and which: promotes the spiritual, moral, cultural, mental and physical development of pupils at the school and of society, and",,,,,,NC master,5,Y,,,,,,,Y,,,,,,,,,,,
"Every state-funded school must offer a curriculum which is balanced and broadly based¹ and which: prepares pupils at the school for the opportunities, responsibilities and experiences of later life.",,,,,,NC master,5,Y,,,,,,,Y,,,,,,,,,,,
The school curriculum comprises all learning and other experiences that each school plans for its pupils. The national curriculum forms one part of the school curriculum.,,,,,,NC master,5,Y,,,,,,,,,,,,,,,,,,
All state schools are also required to make provision for a daily act of collective worship and must teach religious education to pupils at every key stage and sex and relationship education to pupils in secondary education.,"Religious education
SRE",,,,,NC master,5,Y,,,,,,,Y,,,,,,,,,,,
"Maintained schools in England are legally required to follow the statutory national curriculum which sets out in programmes of study, on the basis of key stages, subject content for those subjects that should be taught to all pupils. All schools must publish their school curriculum by subject and academic year online.²",,,,,,NC master,5,Y,,,,,,,Y,,,,,,,,,,,
"All schools should make provision for personal, social, health and economic education (PSHE), drawing on good practice. Schools are also free to include other subjects or topics of their choice in planning and designing their own programme of education.",PSHE,,,,,NC master,5,Y,,,,,,,,,,,,,,,,,,
The national curriculum provides pupils with an introduction to the essential knowledge that they need to be educated citizens. It introduces pupils to the best that has been thought and said; and helps engender an appreciation of human creativity and achievement.,,,,,,NC master,6,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum is just one element in the education of every child. There is time and space in the school day and in each week, term and year to range beyond the national curriculum specifications. The national curriculum provides an outline of core knowledge around which teachers can develop exciting and stimulating lessons to promote the development of pupils' knowledge, understanding and skills as part of the wider school curriculum.",,,,,,NC master,6,Y,,,,,Y,,,,,,,,,,,,,
"Pupils of compulsory school age in community and foundation schools, including community special schools and foundation special schools, and in voluntary aided and voluntary controlled schools, must follow the national curriculum. It is organised on the basis of four key stages³ and twelve subjects, classified in legal terms as 'core' and 'other foundation' subjects.",,,,,,NC master,6,Y,,,,,,,Y,,,,,,,,,,,
