,keyStageTitle,principalFocus,focusStat,focusNonStat,subjectTitle,yearTitle,topic,statutoryRequirements,notesGuidance,unitId,unitTitle
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 10,Prokaryotic and eukaryotic cells,"• explain how the main sub-cellular structures of eukaryotic cells (plants and animals) and prokaryotic cells are related to their functions, including the nucleus/genetic material, plasmids, mitochondria, chloroplasts and cell membranes
• explain how electron microscopy has increased our understanding of sub-cellular structures.",,1073,Eukaryotic and prokaryotic cells
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 11,Prokaryotic and eukaryotic cells,"• explain how the main sub-cellular structures of eukaryotic cells (plants and animals) and prokaryotic cells are related to their functions, including the nucleus/genetic material, plasmids, mitochondria, chloroplasts and cell membranes
• explain how electron microscopy has increased our understanding of sub-cellular structures.",,658,Classification in modern biology
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 10,Growth and development of cells,"• describe the process of mitosis in growth, including the cell cycle
• explain the importance of cell differentiation
• describe cancer as the result of changes in cells that lead to uncontrolled growth and division
• describe the function of stem cells in embryonic and adult animals and meristems in plants
• discuss potential benefits and risks associated with the use of stem cells in medicine
• explain the role of meiotic cell division in halving the chromosome number to form gametes",,901,Cell division: mitosis and meiosis
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 10,Cell metabolism,"• explain the mechanism of enzyme action including the active site, enzyme specificity and factors affecting the rate of enzymatic reaction
• describe cellular respiration as an exothermic reaction which is continuously occurring in all living cells
• compare the processes of aerobic and anaerobic respiration
• explain the importance of sugars, amino acids, fatty acids and glycerol in the
synthesis and breakdown of carbohydrates, lipids and proteins",,566,Biological molecules and enzymes
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 11,Cell metabolism,"• explain the mechanism of enzyme action including the active site, enzyme specificity and factors affecting the rate of enzymatic reaction
• describe cellular respiration as an exothermic reaction which is continuously occurring in all living cells
• compare the processes of aerobic and anaerobic respiration
• explain the importance of sugars, amino acids, fatty acids and glycerol in the
synthesis and breakdown of carbohydrates, lipids and proteins",,572,Aerobic and anaerobic cellular respiration
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,,Transport in cells,"• explain how substances are transported into and out of cells through diffusion, osmosis and active transport.",,,
Secondary,Key Stage 4,"GCSE study in combined science provides the foundations for understanding the material world. Scientific understanding is changing our lives and is vital to the world’s future prosperity, and all students should be taught essential aspects of the knowledge, methods, processes and uses of science. They should be helped to appreciate how the complex and diverse phenomena of the natural world can be described in terms of a small number of key ideas relating to the sciences which are both inter-linked, and are of universal application. These key ideas include:
 the use of conceptual models and theories to make sense of the observed diversity of natural phenomena
 the assumption that every effect has one or more cause
 that change is driven by differences between different objects and systems when they interact
 that many such interactions occur over a distance and over time without direct contact
 that science progresses through a cycle of hypothesis, practical experimentation, observation, theory development and review
 that quantitative analysis is a central element both of many theories and of scientific methods of inquiry

These key ideas are relevant in different ways and with different emphases in the three subjects as part of combined science: examples of their relevance are given for each subject in the separate sections below for biology, chemistry and physics components of combined science.
GCSE specifications in combined award science should enable students to:
 develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics
 develop understanding of the nature, processes and methods of science, through different types of scientific enquiries that help them to answer scientific questions about the world around them
 develop and learn to apply observational, practical, modelling, enquiry and problem-solving skills, both in the laboratory, in the field and in other learning environments
 develop their ability to evaluate claims based on science through critical analysis of the methodology, evidence and conclusions, both qualitatively and quantitatively.

Furthermore, the sciences should be studied in ways that help students to develop curiosity about the natural world, insight into how science works, and appreciation of its relevance to their everyday lives. The scope and nature of such study should be broad, coherent, practical and satisfying, and thereby encourage students to be inspired, motivated and challenged by the subject and its achievements.","Through the content across all three disciplines, students should be taught so that they develop understanding and first-hand experience of:
1. Development of scientific thinking
• understand how scientific methods and theories develop over time
• use a variety of models such as representational, spatial, descriptive, computational and mathematical to solve problems, make predictions and to develop scientific explanations and understanding of familiar and unfamiliar facts
• appreciate the power and limitations of science and consider any ethical issues which may arise
• explain everyday and technological applications of science; evaluate associated personal, social, economic and environmental implications; and make decisions based on the evaluation of evidence and arguments
• evaluate risks both in practical science and the wider societal context, including perception of risk in relation to data and consequences
• recognise the importance of peer review of results and of communicating results to a range of audiences
2. Experimental skills and strategies
• use scientific theories and explanations to develop hypotheses
• plan experiments or devise procedures to make observations, produce or characterise a substance, test hypotheses, check data or explore phenomena
• apply a knowledge of a range of techniques, instruments, apparatus, and materials to select those appropriate to the experiment
• carry out experiments appropriately having due regard to the correct manipulation of apparatus, the accuracy of measurements and health and safety considerations
• recognise when to apply a knowledge of sampling techniques to ensure any samples collected are representative
• make and record observations and measurements using a range of apparatus and methods
• evaluate methods and suggest possible improvements and further investigations
3. Analysis and evaluation
• Apply the cycle of collecting, presenting and analysing data, including:
• presenting observations and other data using appropriate methods
• translating data from one form to another
• carrying out and represent mathematical and statistical analysis
• representing distributions of results and make estimations of uncertainty
• interpreting observations and other data (presented in verbal, diagrammatic, graphical, symbolic or numerical form), including identifying patterns and trends, making inferences and drawing conclusions
• presenting reasoned explanations including relating data to hypotheses
• being objective, evaluating data in terms of accuracy, precision, repeatability and reproducibility and identifying potential sources of random and systematic error
• communicating the scientific rationale for investigations, methods used, findings and reasoned conclusions through paper-based and electronic reports and presentations using verbal, diagrammatic, graphical, numerical and symbolic forms
4. Scientific vocabulary, quantities, units, symbols and nomenclature
• use scientific vocabulary, terminology and definitions
• recognise the importance of scientific quantities and understand how they are determined
• use SI units (e.g. kg, g, mg; km, m, mm; kJ, J) and IUPAC chemical nomenclature unless inappropriate
• use prefixes and powers of ten for orders of magnitude (e.g. tera, giga, mega, kilo, centi, milli, micro and nano)
• interconvert units
• use an appropriate number of significant figures in calculation",,Combined Science,Year 10,Transport systems in multicellular organisms,"• explain the need for exchange surfaces and a transport system in multicellular organisms in terms of surface area:volume ratio
• describe some of the substances transported into and out of a range of organisms in terms of the requirements of those organisms, to include oxygen, carbon dioxide, water, dissolved food molecules, mineral ions and urea",,567,Transport and exchange surfaces in humans
