futureUnit,plannedNumberOfLessons,priorKnowledgeRequirements,priorUnit,unitId,unitTitle,unitDescription,subjectTitle
,12,"[""Atoms are the smallest parts that each element can be broken up into."", ""Atoms used to be thought of as tiny spheres that could not be divided."", ""The discovery of the electron (in 1897) led to the plum pudding model of the atom, for just a few years before new evidence led to a nuclear model of atoms."", ""The atoms of each element are different."", ""An atom has a positively charged nucleus surrounded by negatively charged electrons."", ""The radius of an atomic nucleus is much smaller than the radius of an atom."", ""An atomic nucleus consists of protons and neutrons."", ""The atomic number of an element is equal to the number of protons in the nuclei of its atoms and the number of electrons in each atom."", ""The mass number of an atom is approximately equal to the number of protons added to the number of neutrons in its nucleus."", ""Isotopes of an element all have the same number of protons and electrons, but different numbers of neutrons.""]",498.0,497,Nuclear physics,"This unit covers atomic structure, isotopes, radioactive decay, and half-life. It explores alpha, beta, and gamma radiation, nuclear fission and fusion, and the uses of radiation in medicine, highlighting differences between contamination and irradiation.",Physics
,12,"[""Atoms are the smallest parts that each element can be broken up into."", ""Atoms used to be thought of as tiny spheres that could not be divided."", ""The discovery of the electron (in 1897) led to the plum pudding model of the atom, for just a few years before new evidence led to a nuclear model of atoms."", ""The atoms of each element are different."", ""An atom has a positively charged nucleus surrounded by negatively charged electrons."", ""The radius of an atomic nucleus is much smaller than the radius of an atom."", ""An atomic nucleus consists of protons and neutrons."", ""The atomic number of an element is equal to the number of protons in the nuclei of its atoms and the number of electrons in each atom."", ""The mass number of an atom is approximately equal to the number of protons added to the number of neutrons in its nucleus."", ""Isotopes of an element all have the same number of protons and electrons, but different numbers of neutrons.""]",498.0,497,Nuclear physics,"This unit covers atomic structure, isotopes, radioactive decay, and half-life. It explores alpha, beta, and gamma radiation, nuclear fission and fusion, and the uses of radiation in medicine, highlighting differences between contamination and irradiation.",Combined science
1146.0,14,"[""Each element is made up of just one sort of atom"", ""Each element has specific physical properties"", ""Each element has specific chemical properties"", ""Many non-metals are in the gas state at room temperature"", ""Some non-metals form diatomic molecules that contain two atoms"", ""A compound is made of two or more different elements chemically bonded through a chemical reaction"", ""A compound may have different properties to each of the elements that it is made from"", ""Some compounds contain the same elements that are bonded together in different ways""]",959.0,962,Structure and bonding,"This unit explores changes of state, particle kinetics, and energy transfers in relation to chemical bonding, including ionic, covalent, and metallic bonds. It examines carbon's unique bonding properties, leading to organic compounds and materials like diamond, graphite, fullerenes, and graphene.",Combined science
1146.0,14,"[""Each element is made up of just one sort of atom"", ""Each element has specific physical properties"", ""Each element has specific chemical properties"", ""Many non-metals are in the gas state at room temperature"", ""Some non-metals form diatomic molecules that contain two atoms"", ""A compound is made of two or more different elements chemically bonded through a chemical reaction"", ""A compound may have different properties to each of the elements that it is made from"", ""Some compounds contain the same elements that are bonded together in different ways""]",959.0,962,Structure and bonding,"This unit explores changes of state, particle kinetics, and energy transfers in relation to chemical bonding, including ionic, covalent, and metallic bonds. It examines carbon's unique bonding properties, leading to organic compounds and materials like diamond, graphite, fullerenes, and graphene.",Chemistry
495.0,6,"[""The current in a series circuit is the same everywhere."", ""Adding a component to a series circuit changes the current everywhere, on both sides of the component."", ""The potential difference across each component in a series electric circuit adds up to the potential difference of the battery."", ""The potential difference across each branch of a parallel circuit is the same as the potential difference across the battery."", ""The current through each branch of a parallel circuit adds up to the current through the battery."", ""Current = potential difference / resistance""]",489.0,491,Circuit components,"This unit explores current, resistance, and potential difference. It covers circuit design for lamps, diodes, and thermistors, and emphasises planning experiments, data interpretation, and presenting scientific conclusions.",Physics
495.0,6,"[""The current in a series circuit is the same everywhere."", ""Adding a component to a series circuit changes the current everywhere, on both sides of the component."", ""The potential difference across each component in a series electric circuit adds up to the potential difference of the battery."", ""The potential difference across each branch of a parallel circuit is the same as the potential difference across the battery."", ""The current through each branch of a parallel circuit adds up to the current through the battery."", ""Current = potential difference / resistance""]",489.0,491,Circuit components,"This unit explores current, resistance, and potential difference. It covers circuit design for lamps, diodes, and thermistors, and emphasises planning experiments, data interpretation, and presenting scientific conclusions.",Combined science
963.0,18,"[""There are three states of matter: solid, liquid and gas"", ""Changes of state can be achieved by heating or cooling"", ""Solids, liquids and gases have different properties"", ""Only gases can be compressed, so gases can have different pressures"", ""Fluids fill the container they\u2019re in"", ""Fluids can be poured (they can flow)"", ""The particle model shows how solids, liquids and gases are organised together""]",675.0,1145,Separating substances,"This unit explores purification techniques, including filtration, crystallisation, and distillation. It explains formulations, uses chromatographic methods to identify pure and impure substances, and interprets chromatograms with Rf values. The emphasis is on accurate measurements.",Chemistry
963.0,18,"[""There are three states of matter: solid, liquid and gas"", ""Changes of state can be achieved by heating or cooling"", ""Solids, liquids and gases have different properties"", ""Only gases can be compressed, so gases can have different pressures"", ""Fluids fill the container they\u2019re in"", ""Fluids can be poured (they can flow)"", ""The particle model shows how solids, liquids and gases are organised together""]",675.0,1145,Separating substances,"This unit explores purification techniques, including filtration, crystallisation, and distillation. It explains formulations, uses chromatographic methods to identify pure and impure substances, and interprets chromatograms with Rf values. The emphasis is on accurate measurements.",Combined science
972.0,16,"[""Some acids are corrosive and can burn skin."", ""A base is a substance that reacts with acids and neutralises them to stop them being acidic."", ""An alkali is a base that is dissolved in water."", ""The neutralisation reaction is: acid + base \u2192 salt + water"", ""When hydrochloric acid is neutralised, a chloride salt is formed."", ""When sulphuric acid is neutralised, a sulfate salt is formed."", ""When nitric acid is neutralised, a nitrate salt is formed."", ""Metal + acid \u2192 salt + hydrogen"", ""Metal hydroxide / metal oxide + acid \u2192 salt + water"", ""Metal carbonate + acid \u2192 salt + water + carbon dioxide""]",957.0,963,Making salts,"This unit explores empirical formulae, balanced chemical and ionic equations, gas identification, acid reactions, and pH as a measure of hydrogen ion concentration. It covers separation techniques and focuses on planning experiments, accurate measurements, safety, and communicating findings.",Chemistry
972.0,16,"[""Some acids are corrosive and can burn skin."", ""A base is a substance that reacts with acids and neutralises them to stop them being acidic."", ""An alkali is a base that is dissolved in water."", ""The neutralisation reaction is: acid + base \u2192 salt + water"", ""When hydrochloric acid is neutralised, a chloride salt is formed."", ""When sulphuric acid is neutralised, a sulfate salt is formed."", ""When nitric acid is neutralised, a nitrate salt is formed."", ""Metal + acid \u2192 salt + hydrogen"", ""Metal hydroxide / metal oxide + acid \u2192 salt + water"", ""Metal carbonate + acid \u2192 salt + water + carbon dioxide""]",957.0,963,Making salts,"This unit explores empirical formulae, balanced chemical and ionic equations, gas identification, acid reactions, and pH as a measure of hydrogen ion concentration. It covers separation techniques and focuses on planning experiments, accurate measurements, safety, and communicating findings.",Combined science
