futureUnit,plannedNumberOfLessons,priorKnowledgeRequirements,priorUnit,unitId,unitTitle,unitDescription,subjectTitle
1084.0,6,"[""Some similarities and differences between things in the past and now."", ""Some similarities and differences between different religious and cultural communities in this country.""]",1081.0,1083,Photographs from history: what can they tell us about Britain's recent past?,"This unit explores photography as a recent invention that records history, highlighting early photos of lost ways of life and the challenges of early 20th-century photography. Students learn about changes in recent history, including food, clothing, and more, through photos from the past century.",History
1142.0,6,"[""Pupils need to know that culture in Britain has changed significantly across the course of human history."", ""Pupils need to know that societies change across time, but each society adds an additional layer of complexity to history of the area."", ""Pupils need to understand that British history has been affected by migration of people for as long as people have lived in Britain."", ""Pupils should have a good understanding of the Vikings' early raids in Britain."", ""Pupils should have good working knowledge of who the Vikings were.""]",1141.0,1060,The Vikings: how did Viking settlement change Britain?,"In this unit, pupils learn about how Viking settlement and the Anglo-Saxon response to it led to the making of England. They learn about the roles of Aethelflaed, Aethelred, Edward, and Athelstan and also examine how Aethelflaed's story has only recently received more scholarly attention.",History
,59,"[""Pupils arrive at their study of the historical environment with broad contextual knowledge of Norman England."", ""Pupils understand that England was a Christian country in the 11th century."", ""Pupils understand the nature of monarchy in the medieval period."", ""Pupils have a general understanding of the different roles people occupied in the medieval Church."", ""Pupils have an understanding of the significance of castles and other fortified places.""]",788.0,786,Historic environment (Norman England),"In this unit, pupils learn about the historical environment, choosing the relevant site study to complement their understanding of Norman England.",History
544.0,6,"[""Pupils know that the Second World War was the last full-scale global war in history."", ""Pupils know that Britain was victorious in the Second World War.""]",539.0,541,WW2: which events turned the tide in the story of the Second World War? ,"In this unit, pupils learn about the rise of fascism in Europe and how this helped to bring about the Second World War. They examine key turning points in the conflict, including the Battle of Britain, the siege of Stalingrad, the D-Day landings and the use of atomic weapons in 1945.",History
543.0,6,"[""Pupils know that empires had profound effects on both the colonisers and colonised peoples."", ""Pupils know that the legacy of the British Empire is contested.""]",536.0,537,Interpreting the British Empire: how has it been commemorated and contested?,"In this unit, pupils learn about how the British Empire was viewed in the late nineteenth and early twentieth centuries. They analyse how imperial anxiety, decline, and decolonisation have all led to changes in its historiography.",History
544.0,6,"[""Pupils know that there was a big difference between the lives of the rich and the poor in early modern societies."", ""Pupils know that people feel that monarchs have a duty of care to their people.""]",515.0,524,Life in Tudor England: was there a 'Golden Age' for the poor?,"In this unit, pupils assess the extent to which Elizabethan England represented a 'Golden Age' for the poor. They examine the causes of poverty in this period and learn about contemporary responses to this growing problem before evaluating whether things improved for this group.",History
949.0,6,"[""The changes that had taken place in Britain during the Stone and Bronze Ages."", ""The changes that had taken place in Britain during the Iron Age."", ""An awareness of artifacts and how archaeologists interact with them."", ""An awareness of ancient civilisations and peoples as producers of art.""]",1138.0,1139,Iron Age Britain: what have historians learnt about Iron Age Britain?,"In this unit, pupils develop their understanding of sources and evidence by examining the artefacts that remain from Iron Age Britain. They will learn about Celtic art, Iron Age women, and Iron Age Britain's connections to the wider world.",History
1046.0,6,"[""Pupils need to know that the Romans abandoned Britain in 410 CE."", ""Pupils need to know there was a strong Celtic influence on the culture and heritage of the British Isles."", ""Pupils need to understand that society continues to change and develop across time.""]",1058.0,1045,Britain's settlement by Anglo-Saxons: what changed after the Romans left?,"In this unit, pupils focus on what changed in Britain after the Romans left. They learn about the coming of the Anglo-Saxons and the rise of Mercia. Pupils end the unit by analysing what had changed after the Romans left Britain.",History
517.0,6,"[""Pupils know that in medieval England people lived in small towns and villages."", ""Pupils know that the Church was very important in medieval society.""]",511.0,515,Local history: how similar were medieval lives in Norwich?,"In this unit, pupils learn about the similarities and differences between various medieval lives in Norwich. In doing so, they build deep knowledge of one particular historical place and what it tells us about medieval England more generally.",History
1137.0,6,"[""An awareness of artifacts and archaeologists."", ""An awareness of distinctive ancient cultures as introduced in 'Bronze and Iron Age Britain and Ireland: how did life change during this time?'"", ""Stories from EYFS and KS1 Religious Education about gods and goddesses.""]",947.0,1136,"Ancient Egypt: what stayed the same across 3,000 years?","This unit evaluates the degree of change and continuity over 3,000 years. It also introduces pupils to the key features of ancient Egyptian civilisation, such as its location, religion, writing, burial practices and rulers.",History
536.0,6,"[""Pupils know that access to trade routes brings wealth and power."", ""Pupils know that India was an important destination for international trade."", ""Pupils know that there was a demand for spices in Europe.""]",529.0,530,The East India Company: when did Mughal authority collapse?,"In this unit, pupils learn about the arrival of the East India Company on the fringes of the Mughal Empire. They examine how the East India Company's power and influence grew, and how they, along with various Indian rulers, destabilised Mughal power over India.",History
805.0,5,"[""Pupils know about the failure of the changing level of US involvement in the Vietnam War in the 1960s.""]",803.0,804,USA: what impact did the Vietnam War have on Americans?,"In this unit, pupils learn about the events that led to the Paris Peace agreement of 1973 which ended US involvement in Vietnam. They analyse why the USA had been unable to defeat the North Vietnamese and evaluate the impact of the war on the American people.",History
804.0,5,"[""Pupils know that the US became involved in Vietnam in the 1950s."", ""Pupils know that the US government said they were involved to protect South Vietnam."", ""Pupils know that not all Americans supported US involvement in Vietnam.""]",802.0,803,USA: how did US policy towards Vietnam change?,"In this unit, pupils analyse the ways in which US policy in Vietnam changed in the late 1960s and early 1970s. They learn about the expansion of the war into neighbouring Cambodia and Laos and the growing opposition to the war at home in the USA.",History
1135.0,12,"[""The use of photographs as historical sources from 'Photographs from history: what can they tell us about Britain's recent past?'"", ""Some of the ideas related to rulers and rulership introduced in 'Traditional stories: what do they tell us about the distant past?'"", ""Some of the ideas related to rulers, rulership, public life and duty introduced in 'Elizabeth II: what was her life like?'"", ""What Britain was like in living memory, as introduced in 'Elizabeth II: what was her life like?' and in 'Photographs from history: what can they tell us about Britain's recent past?'""]",1086.0,1091,Queen Victoria: how did Britain change during her lifetime?,"This unit teaches students about life in Britain from 1837-1901. They learn about key events like Victoria's accession, the railways, and the Great Exhibition. The unit explores how her reign defines the period, technological advances, and connections within Britain and globally.",History
522.0,6,"[""Pupils know that the medieval Church exercised power in society."", ""Pupils know that the Pope was very powerful."", ""Pupils know that there were tensions between the power of the Church and the power of the king."", ""Pupils know that Henry VIII had six wives.""]",937.0,521,Henry VIII and the Reformation: how unusual was the English Reformation?,"In this unit, pupils learn about the European Reformation and its influence on Henry VIII's break with Rome. In doing so, pupils compare the English Reformation to the ones experienced on the continent.",History
536.0,6,"[""Pupils know that there was very little technology used in farming or industry before the Industrial Revolution."", ""Pupils know that developments in technology often result in developments in human civilisations."", ""Pupils know that industry was an important way for people to make money."", ""Pupils know that most people lived in towns and villages before the Industrial Revolution.""]",1151.0,535,The Industrial Revolution: did industrialisation revolutionise people's lives?,"In this unit, pupils learn about the changes to life brought about by the Agricultural and Industrial Revolutions. They learn about calls for political reform and how this led to the 1832 Great Reform Act. Pupils end the unit by considering how much the Industrial Revolution changed people's lives.",History
526.0,6,"[""Pupils know that Wales and Scotland were separate from England."", ""Pupils know that medieval kings wished to increase their power and conquer more territories.""]",1060.0,514,Edward I: What stopped Edward uniting all of Britain?,"In this unit, pupils learn about Edward I's campaign to conquer Wales and Scotland and bring both under English rule. They will analyse the reasons why Edward was unable to achieve his aim.",History
1058.0,6,"[""Pupils need to know that different societies and cultures have developed throughout human history around the world."", ""Pupils need to know that as societies develop and disappear from history, they leave a legacy behind them that impacts future generations."", ""Pupils need to understand that different cultures and societies have different beliefs and cultures that are equally valid."", ""Pupils need to know that the Roman Empire was divided in 395 CE, creating the Byzantine Empire in the east.""]",1140.0,1057,Early Islamic civilisation: how did Baghdad become the 'City of Peace'?,"In this unit, pupils develop broad knowledge of Islam's rise. They study Muhammad's role and the early caliphates before focusing on the creation of Baghdad as a new capital for the Islamic Umayyad Caliphate. The unit focuses on the second-order concept of causation.",History
522.0,6,"[""Pupils know that women have experienced unfair treatment in historical societies."", ""Pupils know that the power of the throne was considered worth fighting for.""]",508.0,511,Medieval women: what can we learn from Matilda about women in medieval England?,"In this unit, pupils analyse the historical significance of Empress Matilda's life. They use her life as a lens to consider the lives of noble women in medieval England.",History
791.0,6,"[""Pupils know that William the Conqueror won the Battle of Hastings and claimed the English throne.""]",787.0,788,Norman England: how did William the Conqueror subdue England?,"In this unit, pupils learn about the measures taken by William I to subdue his new kingdom. They examine the various techniques he used in response to English rebellions, and reflect on William's consolidation of power by 1070.",History
795.0,7,"[""Pupils know that the Reformation led to significant changes in England."", ""Pupils know that migration was an important feature of medieval England."", ""Pupils know that migrants impact various areas of life on settling in England.""]",793.0,794,Migration: how far was England changed by early modern migration?,"In this unit, pupils learn about various migrants to England in the early modern period. They investigate how Flemish, Walloon, African, Huguenot and Jewish migrants all came to England and the changes this brought about.",History
527.0,6,"[""Pupils know that powerful empires have existed across the globe throughout history."", ""Pupils know that empires must be rich, militarily strong and well-governed in order to be successful over time.""]",938.0,516,Medieval West Africa: why was medieval Mali so successful?,"In this unit, pupils learn about the success of medieval Mali, with a focus on the second-order concept of causation. They build knowledge of the West African landscape and the role it played in Mali's rise. They will also learn about the rise of Islam in the region and Mansa Musa's pilgrimage.",History
534.0,6,"[""Pupils know that religion was very important to early modern societies."", ""Pupils know that the power of kings could be challenged."", ""Pupils know that the deposition of kings typically resulted in wars, with lots of violence and bloodshed.""]",526.0,528,The Glorious Revolution: how do historians' views of it differ?,"In this unit, pupils learn about the Glorious Revolution and the way in which different historians have viewed it. They learn about the causes of this important event before examining Whig and revisionist arguments about its nature.",History
815.0,6,"[""Pupils know that the 1920s had been a period of 'boom' in the USA."", ""Pupils know that the early 1930s had been a period of 'bust' in the USA.""]",813.0,814,USA New Deal and WW2: how far did the American economy recover?,"In this unit, pupils learn about Roosevelt's New Deal and the opposition it faced. They also learn about popular culture in the 1930s and the impact of the Second World War on the USA's economy and society.",History
545.0,6,"[""Pupils know about the existence of the Welfare State."", ""Pupils know that the government should act in the interests of the British public.""]",535.0,544,Post-war Britain: for whom did the United Kingdom become a 'New Jerusalem'?,"In this unit, pupils learn about the significant changes that took place in post-war Britain: the establishment of the NHS and the welfare state, the growth of social democracy, the changing role of women and the experience of racism in Britain.",History
781.0,6,"[""Pupils know that England was governed by a king.""]",797.0,780,Anglo-Saxon and Norman England: who had power in Anglo-Saxon England?,"In this unit, pupils begin their study of Anglo-Saxon and Anglo-Norman England by examining the politics, economy and society of Anglo-Saxon England c. 1060. They learn about how England was governed, who held power and why.",History
