threadTitle,threadDescription,keyStageTitle,yearTitle,examBoardTitle,unitId,unitTitle,unitDescription,unitThreadOrder,threadProgressionStatement
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 1,Year 1,NoBoard,1081,Elizabeth II: what was her life like?,"This lesson helps students understand a time span covering four generations before their birth. It teaches about Queen Elizabeth II's reign, offering a simple overview of 100 years of British history. Students also learn how a major public figure holds authority and performs national duties.",1,"Thread: Power, government and religion
Previous Unit: N/A
Current Unit: 1081 Elizabeth II: what was her life like? (KS1, Y1)
Next Unit: 1084 Traditional stories: what do they tell us about the distant past? (KS1, Y1)

In this unit, the thread is established as pupils examine the nature of authority through Queen Elizabeth II's life, focusing on her significant public duties and role as Head of the Commonwealth. They explore how her reign reflects the interplay of monarchy and political power, including her relationship with the Church of England and the transition of former colonies into the Commonwealth, illustrating the complexities of governance and the influence of historical events like the Second World War on her role."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 1,Year 1,NoBoard,1084,Traditional stories: what do they tell us about the distant past?,"This unit helps students understand the distant past, where customs, appearances, and practices differed greatly from today. It introduces key figures from British history and shares classic stories that have been retold through generations, becoming part of community heritage.",2,"Thread: Power, government and religion
Previous Unit: 1081 Elizabeth II: what was her life like? (KS1, Y1)
Current Unit: 1084 Traditional stories: what do they tell us about the distant past? (KS1, Y1)
Next Unit: 1086 Significant rulers from the past: what can their stories tell us? (KS1, Y2)

In this unit, the thread progresses as pupils examine the interaction between power and authority through figures like St. Patrick, Robert the Bruce, Aethelflaed, and Owain Glyndwr. They analyse how religious and political motivations influenced actions: St. Patrick's Christian mission in Ireland, Robert's resistance to English rule, Aethelflaed's leadership against the Vikings, and Owain's uprising for Welsh independence, illustrating the complex dynamics of power and religion."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 1,Year 2,NoBoard,1086,Significant rulers from the past: what can their stories tell us?,"Stories about significant rulers from the past give students an understanding of key ideas related to early rulers, such as struggles for power and religious influence. They learn about specific rulers from different times and places, helping students build a chronological framework.",3,"Thread: Power, government and religion
Previous Unit: 1084 Traditional stories: what do they tell us about the distant past? (KS1, Y1)
Current Unit: 1086 Significant rulers from the past: what can their stories tell us? (KS1, Y2)
Next Unit: 1135 Significant individuals who changed Britain: how did they fight for change? (KS1, Y2)

In this unit, the thread progresses as pupils examine the interplay of power and religion through figures like Constantine II, who reclaims St Columba's relics, and Suleiman's legal reforms. They explore political authority with King John's tensions over Magna Carta and Elizabeth I's handling of the Spanish Armada. The narrative of Nūr Jahān highlights how personal influence can shape governance, providing a nuanced view of how rulers and religious elements impact political landscapes."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 1,Year 2,NoBoard,1135,Significant individuals who changed Britain: how did they fight for change?,The stories of Emily Davison and Paul Stephenson help students understand when change has occurred in social justice. They learn about the diversity of those who fought for change and gain a broader sense of history and curiosity about the past.,4,"Thread: Power, government and religion
Previous Unit: 1086 Significant rulers from the past: what can their stories tell us? (KS1, Y2)
Current Unit: 1135 Significant individuals who changed Britain: how did they fight for change? (KS1, Y2)
Next Unit: 1136 Ancient Egypt: what stayed the same across 3,000 years? (KS2, Y3)

In this unit, the thread progresses as pupils evaluate the roles of Emily Davison and Paul Stephenson in challenging power structures. Through analysing Davison's militant suffragette actions and Stephenson's leadership in the Bristol Bus Boycott, pupils assess how individuals confront authority and instigate social change. They further explore the intersection of political and social movements and how these figures influenced broader societal shifts in Britain."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 2,Year 3,NoBoard,1136,"Ancient Egypt: what stayed the same across 3,000 years?","This unit evaluates the degree of change and continuity over 3,000 years. It also introduces pupils to the key features of ancient Egyptian civilisation, such as its location, religion, writing, burial practices and rulers.",5,"Thread: Power, government and religion
Previous Unit: 1135 Significant individuals who changed Britain: how did they fight for change? (KS1, Y2)
Current Unit: 1136 Ancient Egypt: what stayed the same across 3,000 years? (KS2, Y3)
Next Unit: 949 Ancient Greek civilisation: what do we know about ancient Greece? (KS2, Y4)

In this unit, the thread progresses as pupils examine the continuity and change in Ancient Egyptian power structures and religious practices over 3,000 years. By analysing the roles of pharaohs, such as Tutankhamun, and their burial customs, pupils understand the intertwining of political authority and religion. The evolution of writing, including hieroglyphs, and the significance of the Nile further illustrate how these elements sustained and adapted to maintain power and belief systems."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 2,Year 4,NoBoard,949,Ancient Greek civilisation: what do we know about ancient Greece?,"In this unit, pupils establish broad knowledge of ancient Greek civilisation. They learn about the geography and location of the ancient Greek city-states, Athens and Sparta's rivalry, and evaluate what ancient Greek myths can tell us about Ancient Greek culture.",6,"Thread: Power, government and religion
Previous Unit: 1136 Ancient Egypt: what stayed the same across 3,000 years? (KS2, Y3)
Current Unit: 949 Ancient Greek civilisation: what do we know about ancient Greece? (KS2, Y4)
Next Unit: 954 Ancient Greek civilisation: what is its most significant legacy? (KS2, Y4)

In this unit, the thread progresses as pupils examine the dynamics of power and governance in Ancient Greece, comparing democratic Athens and oligarchic Sparta. They explore political structures, such as the Athenian Assembly and Spartan military council, and assess how myths and religion inform cultural norms and authority. Pupils evaluate the contrast in governance and societal roles, enhancing their understanding of ancient political systems and the interplay of power and belief."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 2,Year 4,NoBoard,954,Ancient Greek civilisation: what is its most significant legacy?,"In this unit, pupils develop their understanding of historical significance whilst examining the legacy of ancient Greek civilisation. They build knowledge of various facets of ancient Greek civilisation: its philosophers, the Olympics, Athenian democracy, its language and architecture.",7,"Thread: Power, government and religion
Previous Unit: 949 Ancient Greek civilisation: what do we know about ancient Greece? (KS2, Y4)
Current Unit: 954 Ancient Greek civilisation: what is its most significant legacy? (KS2, Y4)
Next Unit: 1140 Britain after the Romans: how did Christianity survive in the British Isles? (KS2, Y5)

In this unit, the thread progresses as pupils examine the interplay of democracy, philosophy, and religion in Ancient Greece. They compare Athenian democracy's structures with modern British democracy, evaluate philosophers like Socrates and Plato's influence on governance, and assess how religious festivals like the Olympics integrated power and belief. Pupils identify the enduring impact of Greek ideas on contemporary political and cultural systems."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 2,Year 5,NoBoard,1140,Britain after the Romans: how did Christianity survive in the British Isles?,"In this unit, pupils develop their causal understanding by learning how Christianity survived in the British Isles following the departure of the Romans. They learn about how religion changed after the Romans left and the importance of Irish Christianity in this period.",8,"Thread: Power, government and religion
Previous Unit: 954 Ancient Greek civilisation: what is its most significant legacy? (KS2, Y4)
Current Unit: 1140 Britain after the Romans: how did Christianity survive in the British Isles? (KS2, Y5)
Next Unit: 1142 Non-European societies: Benin or the Maya (KS2, Y6)

In this unit, the thread progresses as pupils examine the resilience and transformation of Christianity in Britain after the Roman departure. They explore the decline due to pagan Anglo-Saxon migration and the concurrent strengthening of Irish Christianity through figures like St Patrick. Pupils apply this knowledge to understand how Irish monasteries, such as those on Skellig Michael, became centres of learning and missionary activities, contributing to the survival and spread of Christianity."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 2,Year 6,NoBoard,1142,Non-European societies: Benin or the Maya,"If pupils study Benin, they learn about Benin's culture and society and how its looted artworks have caused modern controversy. If they study the Maya, they build knowledge of this civilisation to analyse what made them so distinctive.",9,"Thread: Power, government and religion
Previous Unit: 1140 Britain after the Romans: how did Christianity survive in the British Isles? (KS2, Y5)
Current Unit: 1142 Non-European societies: Benin or the Maya (KS2, Y6)
Next Unit: 937 The Christian Church: how completely did the Great Schism transform Christendom? (KS3, Y7)

In this unit, the thread progresses as pupils examine how power and religion intersect in the Kingdom of Benin and the Maya civilisation. They evaluate the authority of the Oba of Benin and his divine status, witnessing this through the religious symbolism in Benin Bronzes. Similarly, they assess the Maya's religious practices, such as bloodletting, and the societal role of rulers in religious ceremonies, allowing pupils to compare non-European governance and religious influence."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 7,NoBoard,937,The Christian Church: how completely did the Great Schism transform Christendom?,"In this unit, pupils learn about the Great Schism. They study the similarities and differences between the Roman Catholic and Eastern Orthodox Churches and consider the degree to which the Great Schism fundamentally changed the relationship between these two centres of Christendom.",10,"Thread: Power, government and religion
Previous Unit: 1142 Non-European societies: Benin or the Maya (KS2, Y6)
Current Unit: 937 The Christian Church: how completely did the Great Schism transform Christendom? (KS3, Y7)
Next Unit: 512 England under Henry II: how successfully did Henry reassert royal authority? (KS3, Y7)

In this unit, the thread progresses as pupils examine the Great Schism's impact on religious power dynamics within Christendom. They evaluate how disputes, such as those concerning the Holy Spirit, and reforms led by figures like Pope Leo IX, reshaped authority in the Roman Catholic Church. Pupils also assess the contrasting leadership structures in the Roman Catholic and Eastern Orthodox Churches, focusing on the roles of the pope and patriarch, respectively, and how these changes influenced religious and political authority."
