subjectTitle,threadId,threadTitle,threadDescription,keyStageTitle,yearTitle,unitOrder,unitId,unitTitle,unitDescription,whyThisWhyNow,priorKnowledgeRequirements,examBoardTitle,unitVariantId,unitVariantTitle,lessonOrderInUnit,lessonId,lessonTitle,pupilLessonOutcome,lessonKeywords,keyLearningPoints
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,1,5198,Background to the Crusades: the Byzantine Empire,I can describe the position of Byzantium in the 11th century and the problems it faced.,"[{""keyword"": ""empire"", ""description"": ""an empire is a group of territories ruled over by one person or group of people""}, {""keyword"": ""idolatry"", ""description"": ""idolatry is the worship of images""}, {""keyword"": ""iconoclasm"", ""description"": ""iconoclasm is the destruction of holy images""}, {""keyword"": ""Eastern Orthodox"", ""description"": ""Eastern Orthodox Christianity was the form of Christianity practised in the Byzantine Empire""}]","[{""keyLearningPoint"": ""Byzantium considered itself to be the successor to the Roman Empire.""}, {""keyLearningPoint"": ""Byzantium was a Christian empire.""}, {""keyLearningPoint"": ""The reign of Justinian I was a high point for the Byzantine Empire.""}, {""keyLearningPoint"": ""By the 11th century, the Byzantine Empire had been weakened by a series of internal conflicts.""}, {""keyLearningPoint"": ""By the 11th century, Byzantium was facing external threats from the Seljuk Turks.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,2,5199,Background to the Crusades: the Seljuk Empire,I can describe the position of the Seljuk Empire in the 11th century.,"[{""keyword"": ""Islam"", ""description"": ""Islam is the religion of Muslims""}, {""keyword"": ""caliphate"", ""description"": ""a caliphate is an Islamic state ruled by a single religious and political leader""}, {""keyword"": ""nomad"", ""description"": ""a nomad is a person who has no permanent home but moves from one place to another""}, {""keyword"": ""pastoral"", ""description"": ""pastoral refers to the raising of cattle and other grazing animals""}]","[{""keyLearningPoint"": ""Islamic caliphates existed in the Middle East during this period.""}, {""keyLearningPoint"": ""The Seljuk Empire was a powerful Islamic state in the 11th century.""}, {""keyLearningPoint"": ""Desert and steppe nomads fought in a similar style, which was effective against sedentary civilisations.""}, {""keyLearningPoint"": ""By the 11th century, the Seljuk Empire was expanding into Byzantium's territory.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,3,5200,Background to the Crusades: the medieval Western Church,I can describe how the pope's power had increased by the 11th century.,"[{""keyword"": ""Church"", ""description"": ""the Church is the organisation of the Christian religion""}, {""keyword"": ""pope"", ""description"": ""the pope is the head of the Roman Catholic Church""}, {""keyword"": ""bishop"", ""description"": ""a bishop is a senior member of the Christian Church""}, {""keyword"": ""excommunication"", ""description"": ""excommunication is the action of officially excluding someone from participation in the sacraments and services of the Christian Church""}]","[{""keyLearningPoint"": ""The Western Church was headed by the pope.""}, {""keyLearningPoint"": ""In the early medieval period the pope and Church had little power compared to local kings, but gained more over time.""}, {""keyLearningPoint"": ""Throughout the medieval period there was a power struggle between local kings and the pope over control of religion.""}, {""keyLearningPoint"": ""The Church had gained significant control over the lives of Western Europeans by the 11th century.""}, {""keyLearningPoint"": ""Christianity was a fundamental aspect of life for medieval Europeans.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,4,5201,Pope Urban II's call to crusade,I can explain why Urban II encouraged Christians to go on crusade.,"[{""keyword"": ""pope"", ""description"": ""the pope is the head of the Catholic Church""}, {""keyword"": ""Church"", ""description"": ""the Church is the organisation of the Christian religion""}, {""keyword"": ""crusade"", ""description"": ""a crusade is a military expedition against a group considered by the papacy to be an enemy of the Church""}]","[{""keyLearningPoint"": ""Pope Urban II led the Roman Church in the late 11th century.""}, {""keyLearningPoint"": ""Urban II faced a number of challenges whilst he was pope.""}, {""keyLearningPoint"": ""Urban II called a Church council to Clermont in 1095, partly to discuss the Seljuk invasion into the Byzantine Empire.""}, {""keyLearningPoint"": ""Urban II called upon Western European Christians to go on crusade against the Seljuk Empire.""}, {""keyLearningPoint"": ""Many people were eager to go on crusade.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,5,5202,The First Crusade,I can describe the key events of the First Crusade and the foundation of the 'crusader states'.,"[{""keyword"": ""crusade"", ""description"": ""a crusade is a military expedition against a group considered by the papacy to be an enemy of the Church""}, {""keyword"": ""Holy Land"", ""description"": ""the Holy Land is an area in the Middle East that is sacred to three major religions: Judaism, Christianity and Islam""}, {""keyword"": ""crusader"", ""description"": ""a crusader is a Christian who fought in the holy wars authorised by the pope in the medieval period""}, {""keyword"": ""outremer"", ""description"": ""outremer is the name for the Christian crusader states established in the Middle East during the First Crusade: the literal translation from French is \u2018beyond the sea\u2019""}]","[{""keyLearningPoint"": ""The First Crusade took place in the later 1090s.""}, {""keyLearningPoint"": ""The People's Crusade was a failure.""}, {""keyLearningPoint"": ""The crusaders faced very harsh conditions during their crusade.""}, {""keyLearningPoint"": ""The events of the First Crusade led to the establishment of the crusader states.""}, {""keyLearningPoint"": ""The Princes' Crusade successfully captured Jerusalem.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,4,510,The Crusades: did Europeans go on crusade to capture the 'holy land'?,"In this unit, pupils develop a deep understanding of the First Crusade's background. They learn how the interplay of events across Western Europe, the Byzantine Empire, and the Seljuk Empire led to this significant campaign.","This unit uses and builds on pupils' knowledge of the 11th century mediterranean world that they have developed so far in year 7, and in year 5 units about Islam and Baghdad. These ensure that pupils understand the holistic context to the crusade and are able to comprehend a wide range of causes for the crusade. This unit prepares pupils for later year 7 units that deal with medieval conflict where new examples enrich their understanding of this concept. It also helps to familiarise themselves with various locations that feature in the unit about the Black Death and the Silk Roads.","[""Pupils know that Islam and Christianity are two important world religions."", ""Pupils know that religion was very important to medieval society."", ""Pupils know that the major Abrahamic religions all lay claim to Jerusalem.""]",NoBoard,545,The Crusades: did Europeans go on crusade to capture the 'holy land'?,6,5203,The causes of the First Crusade,I can explain the various causes of the First Crusade and the reasons why people chose to go on crusade.,"[{""keyword"": ""pope"", ""description"": ""the pope is the head of the Roman Catholic Church""}, {""keyword"": ""crusade"", ""description"": ""a crusade is a military expedition against a group considered by the papacy to be an enemy of the Church""}, {""keyword"": ""pilgrimage"", ""description"": ""a pilgrimage is a journey to a holy place""}]","[{""keyLearningPoint"": ""The invasion of Byzantium was one reason for the First Crusade.""}, {""keyLearningPoint"": ""The actions of Urban II were one cause of the First Crusade.""}, {""keyLearningPoint"": ""The desire to fight for their God and the Church motivated some crusaders.""}, {""keyLearningPoint"": ""The desire to go on a holy journey motivated some crusaders.""}, {""keyLearningPoint"": ""Historians disagree about the relative importance of the reasons why the First Crusade occurred as and when it did.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,13,519,The Wars of the Roses: what does it tell us about fifteenth-century England?,"In this unit, pupils develop an understanding of the events of the period known as the Wars of the Roses. In doing so, they analyse the reasons for instability during this period, reflecting on what the Wars of the Roses can tell us about fifteenth-century England.",This unit uses and builds on pupils' knowledge and understanding of sources of medieval instability that they developed in the previous unit. This unit prepares pupils for their study of the Tudor period by contextualising Henry VIII's desire to restore monarchical power following the events of this unit.,"[""Pupils know that the role of the king was desired by many powerful men who were willing to fight for it."", ""Pupils know that kings must be seen to be successful in order to keep their power.""]",NoBoard,554,The Wars of the Roses: what does it tell us about fifteenth-century England?,1,5252,Henry VI and Richard of York,"I can describe how Richard, Duke of York, came to challenge the rule of King Henry VI.","[{""keyword"": ""House"", ""description"": ""a family title, often used by royalty, which consists of monarchs who are related to each other""}, {""keyword"": ""Normandy"", ""description"": ""a region in northern France""}, {""keyword"": ""Gascony"", ""description"": ""an area of southwestern France which was owned by the English from 1151-1453""}]","[{""keyLearningPoint"": ""Unlike his successful warrior-king father, Henry VI was a weak Lancastrian king, lacking leadership and strength.""}, {""keyLearningPoint"": ""Between 1450 and 1453 England lost land in France including Normandy and Gascony and rebellion rose in southern England.""}, {""keyLearningPoint"": ""Henry VI collapsed and Richard, Duke of York, a noble of royal blood, seized his chance to take control of government.""}, {""keyLearningPoint"": ""In December 1454, Henry VI resumed his rule and excluded York from government, leading to the Battle of St Albans.""}, {""keyLearningPoint"": ""England had become unstable due Henry's weakness and York's willingness to use force against him.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,13,519,The Wars of the Roses: what does it tell us about fifteenth-century England?,"In this unit, pupils develop an understanding of the events of the period known as the Wars of the Roses. In doing so, they analyse the reasons for instability during this period, reflecting on what the Wars of the Roses can tell us about fifteenth-century England.",This unit uses and builds on pupils' knowledge and understanding of sources of medieval instability that they developed in the previous unit. This unit prepares pupils for their study of the Tudor period by contextualising Henry VIII's desire to restore monarchical power following the events of this unit.,"[""Pupils know that the role of the king was desired by many powerful men who were willing to fight for it."", ""Pupils know that kings must be seen to be successful in order to keep their power.""]",NoBoard,554,The Wars of the Roses: what does it tell us about fifteenth-century England?,2,5253,"The rule of Margaret of Anjou and the rise of Edward, Duke of York",I can describe how the actions of Margaret of Anjou and the Yorkists created further instability in England.,"[{""keyword"": ""queen consort"", ""description"": ""the wife of a reigning monarch""}]","[{""keyLearningPoint"": ""After the Battle of St Albans, Henry VI\u2019s wife, Margaret of Anjou, was determined to preserve her husband\u2019s rule.""}, {""keyLearningPoint"": ""She ruled on his behalf and built Lancastrian support for Henry, removing Yorkists from court.""}, {""keyLearningPoint"": ""Fighting broke out in 1460 with the powerful Earl of Warwick supporting the Yorkists, but York was killed.""}, {""keyLearningPoint"": ""Edward, York\u2019s son, replaced him and defeated the Yorkists at Mortimer\u2019s Cross and Towton, claiming the throne.""}, {""keyLearningPoint"": ""England had once again been made unstable by arguments over who should be in charge of the country.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,13,519,The Wars of the Roses: what does it tell us about fifteenth-century England?,"In this unit, pupils develop an understanding of the events of the period known as the Wars of the Roses. In doing so, they analyse the reasons for instability during this period, reflecting on what the Wars of the Roses can tell us about fifteenth-century England.",This unit uses and builds on pupils' knowledge and understanding of sources of medieval instability that they developed in the previous unit. This unit prepares pupils for their study of the Tudor period by contextualising Henry VIII's desire to restore monarchical power following the events of this unit.,"[""Pupils know that the role of the king was desired by many powerful men who were willing to fight for it."", ""Pupils know that kings must be seen to be successful in order to keep their power.""]",NoBoard,554,The Wars of the Roses: what does it tell us about fifteenth-century England?,3,5254,Edward IV's unstable first reign,I can explain why Edward IV’s first reign collapsed into instability and describe how he re-took his throne.,"[{""keyword"": ""court"", ""description"": ""all the people who live and work in a royal household""}, {""keyword"": ""nobles"", ""description"": ""people of the highest social class, given land from the monarch in return for loyalty""}, {""keyword"": ""alliance"", ""description"": ""a bond or connection between families or countries""}, {""keyword"": ""ally"", ""description"": ""a supporter or friend""}]","[{""keyLearningPoint"": ""Although Edward IV\u2019s rule was secure by 1464, he jeopardised stability by marrying Elizabeth Woodville.""}, {""keyLearningPoint"": ""This marriage angered many at court, including Warwick, especially after the Woodvilles began to gain more influence.""}, {""keyLearningPoint"": ""Queen Margaret and Warwick combined forces to usurp Edward, who fled abroad, and the crown was returned to Henry VI.""}, {""keyLearningPoint"": ""Edward returned to defeat Warwick and Margaret at Barnet, Henry VI was murdered and Edward VI was restored as king.""}, {""keyLearningPoint"": ""England had been made unstable by Edward IV\u2019s inability to keep the support of his nobles.""}]"
History,133,Warfare and conflict,"This thread is concerned with the substantive concepts that relate to warfare and conflict. It explores how societies experience, respond to, and shape conflict — through war, rebellion, diplomacy, or negotiation. It includes the causes and consequences of wars, the role of military power, and how conflicts affect civilians and national or cultural identities.",Key Stage 3,Year 7,13,519,The Wars of the Roses: what does it tell us about fifteenth-century England?,"In this unit, pupils develop an understanding of the events of the period known as the Wars of the Roses. In doing so, they analyse the reasons for instability during this period, reflecting on what the Wars of the Roses can tell us about fifteenth-century England.",This unit uses and builds on pupils' knowledge and understanding of sources of medieval instability that they developed in the previous unit. This unit prepares pupils for their study of the Tudor period by contextualising Henry VIII's desire to restore monarchical power following the events of this unit.,"[""Pupils know that the role of the king was desired by many powerful men who were willing to fight for it."", ""Pupils know that kings must be seen to be successful in order to keep their power.""]",NoBoard,554,The Wars of the Roses: what does it tell us about fifteenth-century England?,4,5255,Edward IV's stable second reign,I can explain why Edward IV’s second reign was much more stable than his first.,"[{""keyword"": ""nobility"", ""description"": ""belonging to the class of rich landowners such as lords""}, {""keyword"": ""commoner"", ""description"": ""an ordinary person, not part of the royal family or nobility""}, {""keyword"": ""Council of the North"", ""description"": ""an organisation set up to improve control in the north""}, {""keyword"": ""Welsh Marches"", ""description"": ""an area along the border between England and Wales""}, {""keyword"": ""pension"", ""description"": ""in this lesson, this refers to money granted as a favour or reward""}]","[{""keyLearningPoint"": ""Edward\u2019s second reign was much more peaceful and England prospered.""}, {""keyLearningPoint"": ""Lawlessness and conflict among the nobility subsided and Elizabeth Woodville was accepted as queen.""}, {""keyLearningPoint"": ""Edward set up councils to rule lawless areas in the Welsh Marches and the North.""}, {""keyLearningPoint"": ""The wool trade boomed and Edward forced the king of France to pay him money when he threatened invasion.""}, {""keyLearningPoint"": ""Edward\u2019s second reign saw stability because he kept order and with Henry VI dead, he had the support of the nobility.""}]"
