lesson_id,lesson_title,subject,concepts_extracted,concepts_total,status
6382,Transfers of biomass between trophic levels,Biology,5,5,success
6384,Negative human interactions with ecosystems and impacts on biodiversity,Biology,5,5,success
27586,"Examples of human interactions with ecosystems, including fish farming",Biology,5,5,success
6387,Benefits and challenges of maintaining biodiversity,Biology,5,5,success
6388,"Factors affecting human food security, and possible solutions",Biology,5,5,success
27585,"Examples of human interactions with ecosystems, including use of peat",Biology,5,5,success
8192,Impacts of environmental changes on the distribution of organisms ,Biology,5,5,success
8193,"Electron microscopy, and the size and scale of cells",Biology,5,5,success
6287,Classification into kingdoms and domains: sub-cellular evidence,Biology,5,5,success
6289,Classification and reclassification: genetic evidence,Biology,5,5,success
6286,Classifying organisms as eukaryotic or prokaryotic,Biology,5,5,success
6288,"Electron microscopy, and the size and scale of cells: including standard form",Biology,5,5,success
9157,Cells,Biology,5,5,success
9159,Animal cells: common structures and specialised cells,Biology,5,5,success
9160,Plant cells: common structures and specialised cells,Biology,5,5,success
9167,The size and scale of cells: including standard form,Biology,5,5,success
9162,Eukaryotic and prokaryotic organisms,Biology,5,5,success
9163,Common structures of prokaryotic cells,Biology,5,5,success
9158,Light microscopy: observing and drawing cells,Biology,5,5,success
9164,The size and scale of cells: the basics,Biology,5,5,success
5550,Biological molecules,Biology,5,5,success
5552,Obtaining the elements needed to make biological molecules,Biology,5,5,success
5553,"Enzymes: function, structure and specificity",Biology,5,5,success
20050,Explaining effects of substrate concentration and temperature on enzyme rate,Biology,5,5,success
5555,The effect of pH on the rate of an enzyme reaction: plan,Biology,5,5,success
5557,The effect of pH on the rate of an enzyme reaction: data analysis,Biology,5,5,success
5556,The effect of pH on the rate of an enzyme reaction: practical,Biology,5,5,success
5551,Tests for biological molecules,Biology,5,5,success
5554,Effects of substrate concentration and temperature on rate of enzyme activity,Biology,5,5,success
7969,The genome,Biology,5,5,success
7972,The chemical structure of DNA,Biology,5,5,success
7973,"The genome, the environment and phenotype",Biology,5,5,success
7974,The genetic code,Biology,5,5,success
7975,Protein synthesis,Biology,5,5,success
7976,Mutations and genetic variants,Biology,5,5,success
8007,Genetic variants in genes can influence phenotype,Biology,5,5,success
8008,Genetic variants in non-coding DNA can influence phenotype,Biology,5,5,success
9190,"Plant diseases: TMV, crown gall disease and Chalara ash dieback",Biology,5,5,success
9189,"Plant diseases: TMV, crown gall disease and barley powdery mildew",Biology,5,5,success
9206,Effects of exercise on pulse rate ,Biology,5,5,success
7157,Diseases,Biology,5,5,success
7158,Cardiovascular disease,Biology,5,5,success
9184,Bacterial and viral diseases in humans: Salmonella and influenza,Biology,5,5,success
7159,Risk factors for non-communicable diseases,Biology,5,5,success
7160,Cancer,Biology,5,5,success
9185,Fungal and protist diseases in humans,Biology,5,5,success
9186,Sexually transmitted infections,Biology,5,5,success
9187,Plant diseases: TMV and rose black spot,Biology,5,5,success
9182,Bacterial and viral diseases in humans: Salmonella and measles,Biology,5,5,success
9188,Plant diseases: Chalara ash dieback,Biology,5,5,success
9183,"Bacterial and viral diseases in humans: TB, cholera, Helicobacter and Ebola",Biology,5,5,success
5560,The human circulatory system,Biology,5,5,success
5561,The human heart and double circulatory system,Biology,5,5,success
5562,Human blood cells and blood vessels,Biology,5,5,success
5564,"Moving into and out of the blood: diffusion, osmosis and active transport",Biology,5,5,success
5567,The importance of exchange surfaces and transport systems in humans,Biology,5,5,success
5563,Microscopy of human blood cells and blood vessels ,Biology,5,5,success
5565,Diffusion and surface area to volume ratio ,Biology,5,5,success
7984,Growth in multicellular organisms,Biology,5,5,success
7983,The cell cycle and cell division: mitosis,Biology,5,5,success
7986,The structure of DNA: including nucleotides,Biology,5,5,success
7985,Observing mitosis in plant cells using a light microscope,Biology,5,5,success
8102,Errors in cell division and cancer: beyond the basics ,Biology,5,5,success
8103,Making gametes: meiosis,Biology,5,5,success
8101,Errors in cell division and cancer: basics,Biology,5,5,success
20445,The cell cycle and cell division: mitosis (including PMAT) ,Biology,5,5,success
20446,Observing mitosis in plant cells using a light microscope (including PMAT),Biology,5,5,success
6292,Components of an ecosystem,Biology,5,5,success
6299,Material cycles: the water cycle,Biology,5,5,success
6295,Competition and adaptations in ecosystems,Biology,5,5,success
6298,Material cycles: the carbon cycle,Biology,5,5,success
6296,The role of microorganisms in decomposition,Biology,5,5,success
6297,Factors affecting the rate of decomposition,Biology,5,5,success
9201,Measuring the size and distribution of populations of organisms,Biology,5,5,success
6294,Estimating population size and distribution using transects: practical,Biology,5,5,success
27895,The effect of temperature on the rate of decomposition by an enzyme: data analysis and evaluation,Biology,5,5,success
6293,Estimating population size using quadrats: practical,Biology,5,5,success
9202,The effect of temperature on the rate of decomposition by an enzyme: practical,Biology,5,5,success
6392,The fossil record provides evidence for evolution,Biology,5,5,success
6393,Common ancestors and transitional species,Biology,5,5,success
6394,Selective breeding and human food security,Biology,5,5,success
6396,"Darwin, Wallace and the theory of evolution by natural selection",Biology,5,5,success
6397,The evolution of new species,Biology,5,5,success
7978,"Alleles, genotype, and phenotype",Biology,5,5,success
7981,Models of single-gene inheritance: Punnett squares,Biology,5,5,success
7980,Models of single-gene inheritance: family tree diagrams,Biology,5,5,success
8100,The inheritance of biological sex in humans,Biology,5,5,success
8099,Explaining inheritance: Mendel and beyond,Biology,5,5,success
20444,The inheritance of biological sex and sex-linked genetic disorders,Biology,5,5,success
7988,"Specialised cells, unspecialised cells and differentiation",Biology,5,5,success
7989,Stem cells in animals,Biology,5,5,success
7990,Meristem cells in plants,Biology,5,5,success
8104,"Using stem cells in medicine: potential benefits, risks and ethical issues",Biology,5,5,success
7165,Non-specific defences of the human body against pathogens,Biology,5,5,success
7166,Immunity and vaccination,Biology,5,5,success
